IT_NO ID LIQUIDITY WEEKLY_CONSUMPTION_BUDGET money_to_spend money_spent quantity_bought
5 1132 17.061985 1.268009 1.268009 0.000000 0
5 1131 17.061985 1.268009 1.268009 0.000000 0
5 1129 17.061985 1.268009 1.268009 0.000000 0
5 1127 17.061985 0.893009 0.893009 0.000000 0
5 1125 17.061985 1.268009 1.268009 0.000000 0
5 1124 17.061985 1.268009 1.268009 0.000000 0
5 1123 17.061985 1.268009 1.268009 0.000000 0
5 1122 17.061985 1.268009 1.268009 0.000000 0
5 1121 17.061985 1.268009 1.268009 0.000000 0
5 1117 17.061985 1.268009 1.268009 0.000000 0
5 1114 17.061985 1.268009 1.268009 0.000000 0
5 1113 17.061985 1.268009 1.268009 0.000000 0
5 1111 17.061985 1.268009 1.268009 0.000000 0
5 1109 17.061985 1.268009 1.268009 0.000000 0
5 1107 17.061985 1.268009 1.268009 0.000000 0
5 1106 17.061985 1.268009 1.268009 0.000000 0
5 1104 17.061985 1.268009 1.268009 0.000000 0
5 1103 17.061985 1.268009 1.268009 0.000000 0
5 1101 17.061985 1.268009 1.268009 0.000000 0
5 1100 17.061985 1.268009 1.268009 0.000000 0
5 1099 17.061985 1.268009 1.268009 0.000000 0
5 1098 17.061985 1.268009 1.268009 0.000000 0
5 1097 17.061985 1.268009 1.268009 0.000000 0
5 1096 17.061985 1.268009 1.268009 0.000000 0
5 1095 17.061985 1.268009 1.268009 0.000000 0
5 1094 17.061985 1.268009 1.268009 0.000000 0
5 1093 17.061985 1.268009 1.268009 0.000000 0
5 1092 17.061985 1.268009 1.268009 0.000000 0
5 1090 17.061985 1.268009 1.268009 0.000000 0
5 1089 17.061985 0.893009 0.893009 0.000000 0
5 1083 17.061985 1.268009 1.268009 0.000000 0
5 1079 17.061985 1.268009 1.268009 0.000000 0
5 1076 17.061985 1.268009 1.268009 0.000000 0
5 1075 17.061985 0.893009 0.893009 0.000000 0
5 1074 17.061985 1.268009 1.268009 0.000000 0
5 1072 17.061985 1.268009 1.268009 0.000000 0
5 1070 17.061985 0.893009 0.893009 0.000000 0
5 1068 17.061985 0.893009 0.893009 0.000000 0
5 1066 17.061985 0.893009 0.893009 0.000000 0
5 1065 17.061985 1.268009 1.268009 0.000000 0
5 1063 17.061985 1.268009 1.268009 0.000000 0
5 1062 17.061985 1.268009 1.268009 0.000000 0
5 1061 17.061985 1.268009 1.268009 0.000000 0
5 1060 17.061985 1.268009 1.268009 0.000000 0
5 1059 17.061985 1.268009 1.268009 0.000000 0
5 1058 17.061985 1.268009 1.268009 0.000000 0
5 1056 17.061985 0.893009 0.893009 0.000000 0
5 1053 17.061985 0.893009 0.893009 0.000000 0
5 1052 17.061985 0.893009 0.893009 0.000000 0
5 1051 17.061985 1.268009 1.268009 0.000000 0
5 1048 17.061985 1.268009 1.268009 0.000000 0
5 1047 17.061985 1.268009 1.268009 0.000000 0
5 1046 17.061985 1.268009 1.268009 0.000000 0
5 1045 17.061985 0.893009 0.893009 0.000000 0
5 1043 17.061985 1.268009 1.268009 0.000000 0
5 1042 17.061985 1.268009 1.268009 0.000000 0
5 1041 17.061985 1.268009 1.268009 0.000000 0
5 1040 17.061985 1.268009 1.268009 0.000000 0
5 1039 17.061985 1.268009 1.268009 0.000000 0
5 1038 17.061985 0.893009 0.893009 0.000000 0
5 1036 17.061985 1.268009 1.268009 0.000000 0
5 1035 17.061985 1.268009 1.268009 0.000000 0
5 1033 17.061985 0.893009 0.893009 0.000000 0
5 1032 17.061985 1.268009 1.268009 0.000000 0
5 1030 17.061985 1.268009 1.268009 0.000000 0
5 1029 17.061985 1.268009 1.268009 0.000000 0
5 1028 17.061985 0.518009 0.518009 0.000000 0
5 1027 17.061985 1.268009 1.268009 0.000000 0
