IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS DEBT EQUITY
1861 6 0 0 0 0.000000 0 0 2236.559139 0.000000 7 214.708448 0.560000 1310 341.669260 1894.889880
1921 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 217.597978 0.560000 1310 671.666667 61.933333
1921 5 0 0 0 0.000000 0 0 1168.795956 0.000000 2 217.597978 0.560000 1310 182.061781 986.734175
1921 4 0 0 0 0.000000 0 0 1603.991912 -0.000000 4 217.597978 0.560000 1310 671.666667 932.325245
1921 1 0 0 0 0.000000 0 0 1386.393934 -0.000000 3 217.597978 0.560000 1310 672.834316 713.559618
1921 6 0 0 0 0.000000 0 0 1386.393934 -0.000000 3 217.597978 0.560000 1310 341.669260 1044.724674
1921 2 0 0 0 0.000000 0 0 1386.393934 -0.000000 3 217.597978 0.560000 1310 689.790596 696.603338
1981 4 0 0 0 0.000000 0 0 956.082144 0.000000 1 222.482144 0.560000 1310 671.666667 284.415477
1981 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 222.482144 0.560000 1310 689.790596 43.809404
1981 6 0 0 0 0.000000 0 0 1178.564288 -0.000000 2 222.482144 0.560000 1310 341.669260 836.895028
1981 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 222.482144 0.560000 1310 672.834316 60.765684
1981 3 0 0 0 0.000000 0 0 956.082144 0.000000 1 222.482144 0.560000 1310 671.666667 284.415477
1981 5 0 0 0 0.000000 0 0 956.082144 -0.000000 1 222.482144 0.560000 1310 182.061781 774.020363
2041 6 0 0 0 0.000000 0 0 733.600000 -0.000000 0 230.185751 0.560000 1310 341.669260 391.930740
2041 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 230.185751 0.560000 1310 671.666667 61.933333
2041 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 230.185751 0.560000 1310 671.666667 61.933333
2041 1 0 0 0 0.000000 0 0 963.785751 -0.000000 1 230.185751 0.560000 1310 672.834316 290.951435
2041 5 0 0 0 0.000000 0 0 733.600000 -0.000000 0 230.185751 0.560000 1310 182.061781 551.538219
2041 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 230.185751 0.560000 1310 689.790596 43.809404
2101 2 0 0 0 0.000000 0 0 970.527526 -0.000000 1 236.927526 0.560000 1310 689.790596 280.736930
2101 5 0 0 0 0.000000 0 0 1207.455051 -0.000000 2 236.927526 0.560000 1310 182.061781 1025.393270
2101 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 236.927526 0.560000 1310 671.666667 61.933333
2101 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 236.927526 0.560000 1310 671.666667 61.933333
2101 6 0 0 0 0.000000 0 0 970.527526 -0.000000 1 236.927526 0.560000 1310 341.669260 628.858266
2101 1 0 0 0 0.000000 0 0 970.527526 -0.000000 1 236.927526 0.560000 1310 672.834316 297.693209
2161 5 0 0 0 0.000000 0 0 976.163929 -0.000000 1 242.563929 0.560000 1310 182.061781 794.102148
2161 6 0 0 0 0.000000 0 0 1218.727859 -0.000000 2 242.563929 0.560000 1310 341.669260 877.058599
2161 3 0 0 0 0.000000 0 0 1218.727859 0.000000 2 242.563929 0.560000 1310 671.666667 547.061192
2161 4 0 0 0 0.000000 0 0 1461.291788 0.000000 3 242.563929 0.560000 1310 671.666667 789.625122
2161 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 242.563929 0.560000 1310 672.834316 60.765684
2161 2 0 0 0 0.000000 0 0 1461.291788 -0.000000 3 242.563929 0.560000 1310 689.790596 771.501192
2221 5 0 0 0 0.000000 0 0 979.689430 -0.000000 1 246.089430 0.560000 1310 182.061781 797.627648
2221 4 0 0 0 0.000000 0 0 1717.957718 0.000000 4 246.089430 0.560000 1310 671.666667 1046.291052
2221 1 0 0 0 0.000000 0 0 979.689430 -0.000000 1 246.089430 0.560000 1310 672.834316 306.855113
2221 2 0 0 0 0.000000 0 0 1964.047148 -0.000000 5 246.089430 0.560000 1310 689.790596 1274.256552
2221 3 0 0 0 0.000000 0 0 1225.778859 0.000000 2 246.089430 0.560000 1310 671.666667 554.112193
2221 6 0 0 0 0.000000 0 0 1225.778859 -0.000000 2 246.089430 0.560000 1310 341.669260 884.109599
2281 3 0 0 0 0.000000 0 0 1716.206343 0.000000 4 245.651586 0.560000 1310 671.666667 1044.539676
2281 5 0 0 0 0.000000 0 0 1224.903171 -0.000000 2 245.651586 0.560000 1310 182.061781 1042.841390
2281 6 0 0 0 0.000000 0 0 1224.903171 -0.000000 2 245.651586 0.560000 1310 341.669260 883.233911
2281 2 0 0 0 0.000000 0 0 2207.509514 -0.000000 6 245.651586 0.560000 1310 689.790596 1517.718918
2281 1 0 0 0 0.000000 0 0 1470.554757 -0.000000 3 245.651586 0.560000 1310 672.834316 797.720441
2281 4 0 0 0 0.000000 0 0 1961.857928 0.000000 5 245.651586 0.560000 1310 671.666667 1290.191261
2341 3 0 0 0 0.000000 0 0 1477.353433 0.000000 3 247.917811 0.560000 1310 671.666667 805.686766
2341 2 0 0 0 0.000000 0 0 1973.189055 -0.000000 5 247.917811 0.560000 1310 689.790596 1283.398459
2341 5 0 0 0 0.000000 0 0 981.517811 -0.000000 1 247.917811 0.560000 1310 182.061781 799.456030
2341 6 0 0 0 0.000000 0 0 1725.271244 -0.000000 4 247.917811 0.560000 1310 341.669260 1383.601984
2341 1 0 0 0 0.000000 0 0 1477.353433 -0.000000 3 247.917811 0.560000 1310 672.834316 804.519117
2341 4 0 0 0 0.000000 0 0 981.517811 0.000000 1 247.917811 0.560000 1310 671.666667 309.851144
2401 3 0 0 0 0.000000 0 0 733.600000 0.000000 0 252.978255 0.560000 1310 671.666667 61.933333
2401 6 0 0 0 0.000000 0 0 986.578255 -0.000000 1 252.978255 0.560000 1310 341.669260 644.908995
