IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
3181 1638 1329.838774 1329.838774 227.924942 0.000000 227.924942 1101.913832 0.000000 0.000000
3241 1638 1324.437931 1324.437931 232.339396 0.000000 232.339396 1092.098535 552.627860 549.285972
3241 1637 1390.515754 1390.515754 249.597809 0.000000 249.597809 1140.917945 0.000000 1131.756408
3301 1637 1378.914702 1378.914702 249.253167 0.000000 249.253167 1129.661535 0.000000 1140.917945
3301 1638 1346.257906 1346.257906 231.593330 0.000000 231.593330 1114.664576 0.000000 1092.098535
3361 1638 1373.881007 1373.881007 2346.689322 2108.284462 238.404860 -972.808315 496.591449 618.073127
3361 1637 1362.522306 1362.522306 244.384332 0.000000 244.384332 1118.137974 0.000000 1129.661535
3421 1637 1373.962152 1373.962152 1214.283890 974.218737 240.065154 159.678262 0.000000 1118.137974
3421 1638 1369.036814 1369.036814 242.978197 0.000000 242.978197 1126.058617 0.000000 0.000000
3481 1638 1386.277063 1386.277063 235.957598 0.000000 235.957598 1150.319464 1075.019430 51.039187
3481 1637 1392.527620 1392.527620 243.525607 0.000000 243.525607 1149.002012 0.000000 159.678262
3541 1637 1391.011971 1391.011971 246.635890 0.000000 246.635890 1144.376081 0.000000 1149.002012
3541 1638 1405.584749 1405.584749 2428.913506 2192.360379 236.553127 -1023.328757 445.285565 705.033899
