IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1141 13 24.777402 24.777402
1141 23 48.201670 48.201670
1141 21 0.000000 0.000000
1141 24 0.000000 0.000000
1141 30 0.000000 0.000000
1201 30 134.906933 134.906933
1201 21 183.413220 183.413220
1201 7 173.505874 173.505874
1201 14 47.577921 47.577921
1201 24 141.765940 141.765940
1201 17 67.314921 67.314921
1201 19 141.668575 141.668575
1201 25 65.719663 65.719663
1201 27 103.615265 103.615265
1201 15 64.067100 64.067100
1201 13 125.820008 125.820008
1201 8 101.789594 101.789594
1201 28 121.491515 121.491515
1201 20 39.124099 39.124099
1201 16 95.469341 95.469341
1201 9 41.762341 41.762341
1201 12 137.049308 137.049308
1201 23 61.933404 61.933404
1201 29 90.211022 90.211022
1201 11 50.381230 50.381230
1201 10 58.505397 58.505397
1201 18 20.947687 20.947687
1201 22 117.941271 117.941271
1201 26 0.000000 0.000000
1261 9 134.757902 134.757902
1261 30 138.035150 138.035150
1261 7 31.676375 31.676375
1261 14 159.722442 159.722442
1261 27 55.192253 55.192253
1261 15 59.233498 59.233498
1261 23 71.971532 71.971532
1261 26 159.037581 159.037581
1261 22 47.463867 47.463867
1261 29 33.464875 33.464875
1261 12 31.259579 31.259579
1261 20 40.647847 40.647847
1261 19 25.481430 25.481430
1261 21 39.343947 39.343947
1261 13 54.088106 54.088106
1261 8 38.335803 38.335803
1261 11 47.003113 47.003113
1261 10 42.084159 42.084159
1261 16 60.265758 60.265758
1261 17 70.653219 70.653219
1261 28 38.495581 38.495581
1261 24 128.553449 128.553449
1261 18 136.671993 136.671993
1261 25 156.619253 156.619253
1321 10 59.551975 59.551975
1321 14 35.035999 35.035999
1321 23 30.134559 30.134559
1321 11 40.870624 40.870624
1321 17 77.210026 77.210026
1321 25 18.404269 18.404269
1321 18 27.580518 27.580518
1321 24 25.946568 25.946568
1321 28 10.525756 10.525756
1321 26 5.186579 5.186579
1321 22 17.048795 17.048795
1321 27 37.801990 37.801990
1321 30 31.198989 31.198989
1321 19 15.011443 15.011443
1321 20 50.219443 50.219443
1321 12 3.000956 3.000956
1321 7 47.661635 47.661635
1321 21 1.650493 1.650493
1321 8 17.786736 17.786736
1321 9 0.000000 0.000000
1321 15 0.000000 0.000000
1321 16 0.000000 0.000000
1321 13 0.000000 0.000000
1321 29 0.000000 0.000000
1381 13 72.764043 72.764043
1381 24 38.786326 38.786326
1381 30 78.472642 78.472642
1381 9 83.176132 83.176132
1381 14 140.710342 140.710342
1381 27 89.675780 89.675780
1381 19 125.608707 125.608707
1381 7 90.260240 90.260240
1381 23 101.841074 101.841074
1381 25 110.898320 110.898320
1381 12 138.314737 138.314737
1381 22 54.742368 54.742368
1381 8 94.741866 94.741866
1381 11 121.531066 121.531066
1381 28 34.615313 34.615313
1381 26 46.262982 46.262982
1381 21 69.096320 69.096320
